X1,Y1,X2,Y2,C1,C2,Cc,Year,Month,Day,Hours,Minutes,Seconds,LaserPower
-0.35,-0.25,0.35,-0.25,2091,5078,0,2019,6,19,12,14,59,-1
-0.3,-0.25,0.3,-0.25,2262,6493,0,2019,6,19,12,15,5,3699
-0.25,-0.25,0.25,-0.25,2735,8924,0,2019,6,19,12,15,12,3698
-0.2,-0.25,0.2,-0.25,2988,12066,1,2019,6,19,12,15,18,3704
-0.15,-0.25,0.15,-0.25,3219,17987,0,2019,6,19,12,15,24,3706
-0.1,-0.25,0.1,-0.25,3454,23548,0,2019,6,19,12,15,30,3710
-0.05,-0.25,0.05,-0.25,3910,23797,0,2019,6,19,12,15,36,3708
0.,-0.25,0.,-0.25,4243,23270,1,2019,6,19,12,15,42,3711
0.05,-0.25,-0.05,-0.25,4170,20514,0,2019,6,19,12,15,48,3711
0.1,-0.25,-0.1,-0.25,3912,16150,0,2019,6,19,12,15,54,3696
0.15,-0.25,-0.15,-0.25,3518,12692,0,2019,6,19,12,15,60,3697
0.2,-0.25,-0.2,-0.25,3060,9396,2,2019,6,19,12,16,6,3702
0.25,-0.25,-0.25,-0.25,2846,6633,0,2019,6,19,12,16,12,3705
0.3,-0.25,-0.3,-0.25,2593,4744,0,2019,6,19,12,16,18,3699
0.35,-0.25,-0.35,-0.25,2299,3655,0,2019,6,19,12,16,24,3707
0.35,-0.2,-0.35,-0.2,2853,4732,1,2019,6,19,12,16,30,3705
0.3,-0.2,-0.3,-0.2,2758,6315,1,2019,6,19,12,16,36,3712
0.25,-0.2,-0.25,-0.2,3029,9566,2,2019,6,19,12,16,42,3703
0.2,-0.2,-0.2,-0.2,3610,14764,0,2019,6,19,12,16,48,3700
0.15,-0.2,-0.15,-0.2,4424,22499,3,2019,6,19,12,16,54,3704
0.1,-0.2,-0.1,-0.2,5087,30838,4,2019,6,19,12,17,0,3702
0.05,-0.2,-0.05,-0.2,5722,40165,4,2019,6,19,12,17,6,3705
0.,-0.2,0.,-0.2,6064,46416,2,2019,6,19,12,17,12,3709
-0.05,-0.2,0.05,-0.2,5894,48024,1,2019,6,19,12,17,18,3709
-0.1,-0.2,0.1,-0.2,5018,45985,1,2019,6,19,12,17,24,3710
-0.15,-0.2,0.15,-0.2,4305,34944,2,2019,6,19,12,17,30,3708
-0.2,-0.2,0.2,-0.2,3390,23905,1,2019,6,19,12,17,36,3700
-0.25,-0.2,0.25,-0.2,2968,16650,1,2019,6,19,12,17,42,3693
-0.3,-0.2,0.3,-0.2,2394,11975,1,2019,6,19,12,17,48,3692
-0.35,-0.2,0.35,-0.2,2206,8426,0,2019,6,19,12,17,54,3701
-0.35,-0.15,0.35,-0.15,2524,12615,0,2019,6,19,12,18,0,3703
-0.3,-0.15,0.3,-0.15,2797,19546,2,2019,6,19,12,18,6,3703
-0.25,-0.15,0.25,-0.15,3316,30211,1,2019,6,19,12,18,12,3690
-0.2,-0.15,0.2,-0.15,4091,45605,0,2019,6,19,12,18,18,3689
-0.15,-0.15,0.15,-0.15,5732,71856,0,2019,6,19,12,18,24,3699
-0.1,-0.15,0.1,-0.15,7445,98467,6,2019,6,19,12,18,30,3698
-0.05,-0.15,0.05,-0.15,9477,115490,7,2019,6,19,12,18,36,3706
0.,-0.15,0.,-0.15,10240,124500,5,2019,6,19,12,18,42,3706
0.05,-0.15,-0.05,-0.15,10044,110410,3,2019,6,19,12,18,49,3709
0.1,-0.15,-0.1,-0.15,8929,77782,4,2019,6,19,12,18,55,3711
0.15,-0.15,-0.15,-0.15,6846,50398,2,2019,6,19,12,19,1,3712
0.2,-0.15,-0.2,-0.15,5267,30176,2,2019,6,19,12,19,7,3714
0.25,-0.15,-0.25,-0.15,4001,16052,0,2019,6,19,12,19,13,3711
0.3,-0.15,-0.3,-0.15,3350,9299,1,2019,6,19,12,19,19,3710
0.35,-0.15,-0.35,-0.15,3378,5863,0,2019,6,19,12,19,25,3711
0.35,-0.1,-0.35,-0.1,3797,7325,0,2019,6,19,12,19,31,3709
0.3,-0.1,-0.3,-0.1,4357,13182,1,2019,6,19,12,19,37,3709
0.25,-0.1,-0.25,-0.1,6559,30783,0,2019,6,19,12,19,43,3707
0.2,-0.1,-0.2,-0.1,11393,79930,1,2019,6,19,12,19,49,3708
0.15,-0.1,-0.15,-0.1,20527,171403,20,2019,6,19,12,19,55,3707
0.1,-0.1,-0.1,-0.1,29502,319272,39,2019,6,19,12,20,1,3708
0.05,-0.1,-0.05,-0.1,31207,468719,55,2019,6,19,12,20,7,3710
0.,-0.1,0.,-0.1,28480,493325,58,2019,6,19,12,20,13,3708
-0.05,-0.1,0.05,-0.1,23270,422972,39,2019,6,19,12,20,19,3706
-0.1,-0.1,0.1,-0.1,16598,315285,19,2019,6,19,12,20,25,3706
-0.15,-0.1,0.15,-0.1,9908,199314,7,2019,6,19,12,20,31,3709
-0.2,-0.1,0.2,-0.1,6124,110095,1,2019,6,19,12,20,37,3705
-0.25,-0.1,0.25,-0.1,4357,58459,0,2019,6,19,12,20,43,3705
-0.3,-0.1,0.3,-0.1,3339,33086,0,2019,6,19,12,20,49,3707
-0.35,-0.1,0.35,-0.1,2731,18796,0,2019,6,19,12,20,55,3703
-0.35,-0.05,0.35,-0.05,2904,33492,0,2019,6,19,12,21,1,3706
-0.3,-0.05,0.3,-0.05,4035,53594,2,2019,6,19,12,21,8,3705
